event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301486988035,2,0,can01,tx_can01,256,6,1000000,19301486896635,19301486987758,19301486988035,16,1,0,0
TX,19301487046313,2,1,can01,tx_can01,257,3,2000000,19301486896635,19301486987758,19301487046313,16,1,0,0
TX,19301487510478,1,0,can10,tx_can10,256,7,1000000,19301487441637,19301487510348,19301487510478,16,1,0,0
TX,19301487594959,3,0,can11,tx_can11,256,5,1000000,19301487529151,19301487594737,19301487594959,16,0,0,0
TX,19301487617236,3,1,can11,tx_can11,257,3,2000000,19301487529151,19301487594737,19301487617236,16,0,0,0
TX,19301487908569,0,0,can00,tx_can00,256,8,1000000,19301487839843,19301487908494,19301487908569,16,0,0,0
TX,19301487963365,0,1,can00,tx_can00,257,4,2000000,19301487839843,19301487908494,19301487963365,16,0,0,0
TX,19301487999883,2,0,can01,tx_can01,256,7,1000000,19301487896635,19301487999809,19301487999883,16,1,0,0
TX,19301488510436,1,0,can10,tx_can10,256,8,1000000,19301488441637,19301488510196,19301488510436,16,1,0,0
TX,19301488543955,1,1,can10,tx_can10,257,4,2000000,19301488441637,19301488510196,19301488543955,16,1,0,0
TX,19301488599695,3,0,can11,tx_can11,256,6,1000000,19301488529151,19301488599603,19301488599695,16,0,0,0
TX,19301488933879,0,0,can00,tx_can00,256,9,1000000,19301488839843,19301488933601,19301488933879,16,0,0,0
TX,19301488980583,2,0,can01,tx_can01,256,8,1000000,19301488896635,19301488980323,19301488980583,16,1,0,0
TX,19301489037193,2,1,can01,tx_can01,257,4,2000000,19301488896635,19301488980323,19301489037193,16,1,0,0
TX,19301489508765,1,0,can10,tx_can10,256,9,1000000,19301489441637,19301489508562,19301489508765,16,1,0,0
TX,19301489593839,3,0,can11,tx_can11,256,7,1000000,19301489529151,19301489593765,19301489593839,16,0,0,0
TX,19301489618672,3,1,can11,tx_can11,257,4,2000000,19301489529151,19301489593765,19301489618672,16,0,0,0
TX,19301489905930,0,0,can00,tx_can00,256,10,1000000,19301489839843,19301489905819,19301489905930,16,0,0,0
TX,19301489959764,0,1,can00,tx_can00,257,5,2000000,19301489839843,19301489905819,19301489959764,16,0,0,0
TX,19301490010208,0,2,can00,tx_can00,258,1,10000000,19301489839843,19301489905819,19301490010208,16,0,0,0
TX,19301490011689,2,0,can01,tx_can01,256,9,1000000,19301489896635,19301490011541,19301490011689,16,1,0,0
TX,19301490508613,1,0,can10,tx_can10,256,10,1000000,19301490441637,19301490508335,19301490508613,16,1,0,0
TX,19301490532817,1,1,can10,tx_can10,257,5,2000000,19301490441637,19301490508335,19301490532817,16,1,0,0
TX,19301490548965,1,2,can10,tx_can10,258,1,10000000,19301490441637,19301490508335,19301490548965,16,1,0,0
TX,19301490604020,3,0,can11,tx_can11,256,8,1000000,19301490529151,19301490603927,19301490604020,16,0,0,0
TX,19301490994870,2,0,can01,tx_can01,256,10,1000000,19301490896635,19301490994741,19301490994870,16,1,0,0
TX,19301491056500,2,1,can01,tx_can01,257,5,2000000,19301490896635,19301490994741,19301491056500,16,1,0,0
TX,19301491110666,2,2,can01,tx_can01,258,1,10000000,19301490896635,19301490994741,19301491110666,16,1,0,0
TX,19301490909148,0,0,can00,tx_can00,256,11,1000000,19301490839843,19301490909019,19301490909148,16,0,0,0
TX,19301491538535,1,0,can10,tx_can10,256,11,1000000,19301491441637,19301491538312,19301491538535,16,1,0,0
TX,19301491598238,3,0,can11,tx_can11,256,9,1000000,19301491529151,19301491598034,19301491598238,16,0,0,0
TX,19301491620590,3,1,can11,tx_can11,257,5,2000000,19301491529151,19301491598034,19301491620590,16,0,0,0
TX,19301492127514,3,2,can11,tx_can11,258,1,10000000,19301491529151,19301491598034,19301492127514,16,0,0,0
TX,19301492127588,2,0,can01,tx_can01,256,11,1000000,19301491896635,19301492127162,19301492127588,16,1,0,0
TX,19301492546715,1,0,can10,tx_can10,256,12,1000000,19301492441637,19301492546456,19301492546715,16,1,0,0
TX,19301492578067,1,1,can10,tx_can10,257,6,2000000,19301492441637,19301492546456,19301492578067,16,1,0,0
TX,19301492709937,3,0,can11,tx_can11,256,10,1000000,19301492529151,19301492709752,19301492709937,16,1,0,0
TX,19301493012899,2,0,can01,tx_can01,256,12,1000000,19301492896635,19301493012602,19301493012899,16,1,0,0
TX,19301492052440,0,0,can00,tx_can00,256,12,1000000,19301491839843,19301492052144,19301492052440,16,0,0,0
TX,19301493069602,2,1,can01,tx_can01,257,6,2000000,19301492896635,19301493012602,19301493069602,16,1,0,0
TX,19301493083324,0,1,can00,tx_can00,257,6,2000000,19301491839843,19301492052144,19301493083324,16,0,0,0
TX,19301493193713,0,0,can00,tx_can00,256,13,1000000,19301492839843,19301493193639,19301493193713,16,0,0,0
TX,19301493524304,1,0,can10,tx_can10,256,13,1000000,19301493441637,19301493524174,19301493524304,16,1,0,0
TX,19301493613378,3,0,can11,tx_can11,256,11,1000000,19301493529151,19301493613137,19301493613378,16,1,0,0
TX,19301493680044,3,1,can11,tx_can11,257,6,2000000,19301493529151,19301493613137,19301493680044,16,1,0,0
TX,19301493928265,0,0,can00,tx_can00,256,14,1000000,19301493839843,19301493928191,19301493928265,16,0,0,0
TX,19301493992598,0,1,can00,tx_can00,257,7,2000000,19301493839843,19301493928191,19301493992598,16,0,0,0
TX,19301494018450,2,0,can01,tx_can01,256,13,1000000,19301493896635,19301494018209,19301494018450,16,1,0,0
TX,19301494513133,1,0,can10,tx_can10,256,14,1000000,19301494441637,19301494512892,19301494513133,16,1,0,0
TX,19301494543374,1,1,can10,tx_can10,257,7,2000000,19301494441637,19301494512892,19301494543374,16,1,0,0
