exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can01,can01,0x211,8,2000000,6677949666108,6677949892937,6677950034899,16,2,0,0
1,tx_can00,can00,0x110,17,1000000,6677950655719,6677950734448,6677950842059,16,3,0,0
1,tx_can01,can01,0x210,17,1000000,6677950666108,6677950746393,6677950857781,16,2,0,0
1,tx_can00,can00,0x110,18,1000000,6677951655719,6677951734218,6677951842347,16,3,0,0
1,tx_can01,can01,0x210,18,1000000,6677951666108,6677951745514,6677951854569,16,2,0,0
1,tx_can00,can00,0x111,9,2000000,6677951655719,6677951889624,6677952055215,16,3,0,0
1,tx_can01,can01,0x211,9,2000000,6677951666108,6677951892902,6677952059011,16,2,0,0
1,tx_can00,can00,0x110,19,1000000,6677952655719,6677952733506,6677952845838,16,3,0,0
1,tx_can01,can01,0x210,19,1000000,6677952666108,6677952745709,6677952856060,16,2,0,0
1,tx_can00,can00,0x100,2,10000000,6677953655719,6677953733479,6677953841774,16,3,0,0
1,tx_can01,can01,0x200,2,10000000,6677953666108,6677953745293,6677953854459,16,2,0,0
1,tx_can00,can00,0x101,1,20000000,6677953655719,6677953889348,6677954031643,16,3,0,0
1,tx_can01,can01,0x201,1,20000000,6677953666108,6677953892329,6677954034347,16,2,0,0
1,tx_can00,can00,0x110,20,1000000,6677953655719,6677954083531,6677954220123,16,3,0,0
1,tx_can01,can01,0x210,20,1000000,6677953666108,6677954085161,6677954224697,16,2,0,0
1,tx_can00,can00,0x111,10,2000000,6677953655719,6677954256160,6677954402769,16,3,0,0
1,tx_can01,can01,0x211,10,2000000,6677953666108,6677954268215,6677954410047,16,2,0,0
1,tx_can00,can00,0x110,21,1000000,6677954655719,6677954733859,6677954842081,16,3,0,0
1,tx_can01,can01,0x210,21,1000000,6677954666108,6677954745970,6677954855266,16,2,0,0
1,tx_can00,can00,0x110,22,1000000,6677955655719,6677955734554,6677955842776,16,3,0,0
1,tx_can01,can01,0x210,22,1000000,6677955666108,6677955745110,6677955854516,16,2,0,0
1,tx_can01,can01,0x211,11,2000000,6677955666108,6677955893498,6677956057293,16,2,0,0
1,tx_can00,can00,0x111,11,2000000,6677955655719,6677955889812,6677956058255,16,3,0,0
1,tx_can00,can00,0x110,23,1000000,6677956655719,6677956735713,6677956844675,16,3,0,0
1,tx_can01,can01,0x210,23,1000000,6677956666108,6677956745305,6677956855489,16,2,0,0
1,tx_can00,can00,0x110,24,1000000,6677957655719,6677957734297,6677957842852,16,3,0,0
