exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
10,tx_can01,can01,0x200,0,10000000,516068374315,516068390508,516068431822,16,1,1,78
10,tx_can00,can00,0x100,0,10000000,516068367797,516068391027,516068434877,16,0,1,80
10,tx_can01,can01,0x201,0,20000000,516068374315,516068587668,516068603149,16,1,1,78
10,tx_can00,can00,0x101,0,20000000,516068367797,516068658425,516068672628,16,0,1,80
10,tx_can01,can01,0x210,0,1000000,516068374315,516068670610,516068684054,16,1,1,78
10,tx_can00,can00,0x110,0,1000000,516068367797,516068694146,516068706423,16,0,1,80
10,tx_can01,can01,0x211,0,2000000,516068374315,516068714312,516068726700,16,1,1,78
10,tx_can00,can00,0x111,0,2000000,516068367797,516068727311,516068737311,16,0,1,80
10,tx_can00,can00,0x110,1,1000000,516069367797,516069378326,516069391233,16,0,1,80
10,tx_can01,can01,0x210,1,1000000,516069374315,516069388493,516069406362,16,1,1,78
10,tx_can00,can00,0x110,2,1000000,516070367797,516070378218,516070390125,16,0,1,80
10,tx_can01,can01,0x210,2,1000000,516070374315,516070388421,516070406365,16,1,1,78
10,tx_can00,can00,0x111,1,2000000,516070367797,516070418272,516070430587,16,0,1,80
10,tx_can01,can01,0x211,1,2000000,516070374315,516070428957,516070441068,16,1,1,78
10,tx_can00,can00,0x110,3,1000000,516071367797,516071378221,516071390498,16,0,1,80
10,tx_can01,can01,0x210,3,1000000,516071374315,516071388128,516071405683,16,1,1,78
10,tx_can00,can00,0x110,4,1000000,516072367797,516072378168,516072389390,16,0,1,80
10,tx_can01,can01,0x210,4,1000000,516072374315,516072387890,516072401112,16,1,1,78
10,tx_can00,can00,0x111,2,2000000,516072367797,516072424722,516072436870,16,0,1,80
10,tx_can01,can01,0x211,2,2000000,516072374315,516072428056,516072440296,16,1,1,78
10,tx_can00,can00,0x110,5,1000000,516073367797,516073378171,516073390264,16,0,1,80
10,tx_can01,can01,0x210,5,1000000,516073374315,516073388041,516073405393,16,1,1,78
10,tx_can00,can00,0x110,6,1000000,516074367797,516074377971,516074389248,16,0,1,80
10,tx_can01,can01,0x210,6,1000000,516074374315,516074388248,516074404636,16,1,1,78
10,tx_can00,can00,0x111,3,2000000,516074367797,516074416654,516074428524,16,0,1,80
10,tx_can01,can01,0x211,3,2000000,516074374315,516074426969,516074438931,16,1,1,78
10,tx_can00,can00,0x110,7,1000000,516075367797,516075377881,516075389918,16,0,1,80
10,tx_can01,can01,0x210,7,1000000,516075374315,516075387862,516075404880,16,1,1,78
10,tx_can00,can00,0x110,8,1000000,516076367797,516076377939,516076389309,16,0,1,80
10,tx_can01,can01,0x210,8,1000000,516076374315,516076387735,516076404494,16,1,1,78
10,tx_can00,can00,0x111,4,2000000,516076367797,516076416975,516076429771,16,0,1,80
10,tx_can01,can01,0x211,4,2000000,516076374315,516076427790,516076439826,16,1,1,78
10,tx_can00,can00,0x110,9,1000000,516077367797,516077378053,516077390460,16,0,1,80
10,tx_can01,can01,0x210,9,1000000,516077374315,516077387886,516077404719,16,1,1,78
10,tx_can00,can00,0x100,1,10000000,516078367797,516078377834,516078389186,16,0,1,80
10,tx_can01,can01,0x200,1,10000000,516078374315,516078388223,516078404426,16,1,1,78
10,tx_can00,can00,0x110,10,1000000,516078367797,516078416296,516078428258,16,0,1,80
10,tx_can01,can01,0x210,10,1000000,516078374315,516078426536,516078438591,16,1,1,78
10,tx_can00,can00,0x111,5,2000000,516078367797,516078451184,516078465350,16,0,1,80
10,tx_can01,can01,0x211,5,2000000,516078374315,516078457350,516078470590,16,1,1,78
10,tx_can00,can00,0x110,11,1000000,516079367797,516079377893,516079392874,16,0,1,80
10,tx_can01,can01,0x210,11,1000000,516079374315,516079387874,516079406410,16,1,1,78
